Kode,Nama_Indo,Nama_Mandarin,Foto
BGA000396,标签打印机 S650 ,Mesin Cetak label S650,BGA000396
BGA003290,标签机 PT-E300,Printer Label PT-E300,BGA003290
BGA003289,标签机 PT-E550W,Dasar 32*32*600MM,BGA003289
BGA003313,标签打印机B50,pencetak label B50,BGA003313
BGA000355,投影仪支架,Dudukan proyektor,BGA000355
BGA002296,投影仪 EB-E500,Proyektor EB-E500,BGA002296
BGA002586,投影仪 EPSON EB-FH52,Proyektor EPSON EB-FH52,BGA002586
BGA000022,电话机 V25,Telepon V25,BGA000022
BGA000213,电话机,Telepon,BGA000213
BGA000298,电话机 B255,Telepon B255,BGA000298
BGA000736,电话机　HCD999(2)TSD,Telepon HCD999 (2) TSD,BGA000736
BGA002592,电话机 HCD999(3)TSD,Telepon HCD999(3)TSD,BGA002592
BGA003523,电话机 S1,Pertukaran Telepon S1,BGA003523
BGA003348,IP电话机 S1,Telephone Exchange S1,BGA003348
BGA004052,IP电话机 ESP282-PCG,IP phone ESP282-PCG,BGA004052
BGA005772,IP电话机 ES282-PCG,Telepon IP ES282-PCG,BGA005772
BGA002894,网络话机 S1,Telepon internet S1,BGA002894
BGA001501,计算器 CASIO MJ120D,Kalkulator CASIO MJ120D,BGA001501
BGA003927,音箱 T-775,Sound Transmitter T-775,BGA003927
BGA001483,会议室音响,perangkat audio konferensi,BGA001483
BGA000979,音箱R1000TC,Speaker R1000TC,BGA000979
BGA002698,音箱 T-260H,Pembicara T-260H,BGA002698
BGA003572,音箱 i-560,Pembicara i-560,BGA003572
BGA004892,音箱 VS-18,Pembicara VS-18,BGA004892
BGA005234,音响 ITC,Audio ITC,BGA005234
BGA007384,麦克风TS-0308,0,BGA007384
BGA007385,麦克风TS-0308A,0,BGA007385
BGA001214,麦克风,Microphone (Mike),BGA001214
BGA004371,麦克风,Mikropon,BGA004371
BGA004767,麦克风 TB-TK999III,Mikrofon TB-TK999III,BGA004767
BGA004768,麦克风 K9-S,Mike K9-S,BGA004768
BGA005358,麦克风 HM-306,Mikrofon HM-306,BGA005358
BGA006324,麦克风 TS-W302D,Mike TS-W302D,BGA006324
BGA005235,乐器麦克风 SM57,Mikrofon instrumen SM57,BGA005235
BGA000105,鹅颈麦克风 TE-210专业台式会议麦克,Mikrofon Gooseneck TE-210 Mikrofon Konferensi Desktop Profesional,BGA000105
BGA003446,全向麦 φ12030,Gandum segala arah φ12030,BGA003446
BGA002360,录音电话 G025 ,Recording call G025,BGA002360
BGA000109,喊话器,Loudspeaker,BGA000109
BGA004860,无线会议话筒 OK-121,Mikrofon konferensi nirkabel OK-121,BGA004860
BGA002982,便携式执法记录仪 VTR8202 256G,Perekam penegakan hukum VTR8202 256G,BGA002982
BGA004861,会议摄像头 PSE0600,Kamera konferensi PSE0600,BGA004861
BGA004069,会议摄像头 PTZ,conference camera PTZ,BGA004069
BGA004793,人脸核验终端 M0826Z,Terminal verifikasi wajah M0826Z,BGA004793
BGA000010,高清线,Kabel HD,BGA000010
BGA000382,高清线 15M,Kendaraan platform udara SX5185JGK8J401R,BGA000382
BGA003859,高清线 HDMI-JZ-HSM,Kabel HD HDMI-JZ-HSM,BGA003859
BGA002195,高清线 HDMI 1.5m,Kabel HD HDMI 1.5m,BGA002195
BGA004345,HDMI高清线 25M,Kabel HDMI definisi tinggi 25M,BGA004345
BGA005242,HDMI高清线 8M,Kabel HDMI definisi tinggi 8M,BGA005242
BGA005243,HDMI高清线 2M,Kabel HDMI definisi tinggi 2M,BGA005243
BGA000232,网线 8芯*30米,Kabel jaringan 8 core * 30 meter,BGA000232
BGA000014,数据线 USB3.0,Kabel data USB3.0,BGA000014
BGA000214,电话线 HA50*2*0.4,"Kabel telepon HA50 * 2 * 0,4",BGA000214
BGA003945,串口线 DB9转USB公对公 L=2m,Kabel serial DB9 ke USB pria ke pria L=2m,BGA003945
BGA006322,音频线 QS401 220V,Kabel Audio QS401 220V,BGA006322
BGA006323,音频线 QS6721 220V,Kabel Audio QS6721 220V,BGA006323
BGA000587,延长线 1.5M,Kabel perpanjangan USB 1.5M,BGA000587
BGA004814,高清线,0,BGA004814
BGA002062,千兆PoE电源 24V 0.5A,Adaptor Daya PoE Gigabit 24V 0.5A,BGA002062
BGA000339,电视电话分线箱 30寸,Kotak distribusi telepon TV 30 inci,BGA000339
BGA002707,电话分线盒 17014075mm,Kotak sambungan telepon 170*140*75mm,BGA002707
BGA004677,IP网络功放终端 T-7760B,Terminal penguat daya jaringan IP T-7760B,BGA004677
BGA004678,IP网络功放终端 T-77120B,Terminal penguat daya jaringan IP T-77120B,BGA004678
BGA006052,IP网络功放终端 T-77240B,Terminal Penguat Jaringan IP T-77240B,BGA006052
BGA005390,IP网络功放终端T-77240Z,0,BGA005390
BGA000144,以太交换机 H3C MS4024,Switch Ethernet H3C MS4024,BGA000144
BGA002964,网络存储设备 DS-A80624S,Perangkat Penyimpanan Jaringan DS-A80624S,BGA002964
BGA003928,数字合并式功放 T-240D,Penguat terintegrasi digital T-240D,BGA003928
BGA000988,视频分割器 402D,Pemisah video 402D,BGA000988
BGA005526,服务器HPEProLiantDL380Gen10（2.4GHz/10-core）32GB,0,BGA005526
BGA003936,会议系统主机TS-0300M,0,BGA003936
BGA003447,I7独显 MT51G,I7 grafis independen MT51G,BGA003447
BGA004893,功放 EM10001,Penguat EM10001,BGA004893
BGA002065,无线网桥 NS-5ACL,Jaringan Wireless NS-5ACL,BGA002065
BGA000746,无线网桥 loco M5,Wireless Bridge loco M5,BGA000746
BGA003320,无线网桥 NSM5,Jembatan Nirkabel NSM5,BGA003320
BGA007383,无线网桥DS-3WFOBC-2NT/P,0,BGA007383
BGA004890,无线网桥TL-S5G-15KM,0,BGA004890
BGA003448,无线传屏 WT01A,Berbagi layar nirkabel WT01A,BGA003448
BGA004834,电脑电源 260W,Catu daya komputer 260W,BGA004834
BGA000250,处理器 I5,Prosesor I5,BGA000250
BGA000299,电脑电源600W,Power supply komputer 600W,BGA000299
BGA002513,电脑电源 SB-380 (旧）,Computer power supply SB-380 (old),BGA002513
BGA001973,内存条 16G,Modul memori 16G,BGA001973
BGA005003,内存条 8GB 1R*8 PC4-3200AA-UA2-11 ,Ram 8GB 1R*8 PC4-3200AA-UA2-11,BGA005003
BGA002794,内存条 DDR4 32GB,Stik memori DDR4 32GB,BGA002794
BGA002434,网卡 INTEL I210芯片,Kartu jaringan chip INTEL I210,BGA002434
BGA001776,台式机网卡 PCI-E 1000m,Kartu Jaringan Desktop PCI-E 1000m,BGA001776
BGA002302,接收卡 5A-75B,Menerima kartu 5A-75B,BGA002302
BGA003692,打印机主板 MFC-T4500DWA,Motherboard pencetak MFC-T4500DW,BGA003692
BGA003693,打印机主板 MFC-L5900DW,Siku φ170*10,BGA003693
BGA007499,手持喷码机AL16,0,BGA007499
BGA000166,芯片 MX-23K,Serbuk  Chip MX-23K,BGA000166
BGA000167,芯片 MX-23M,Serbuk  Chip MX-23M,BGA000167
BGA000168,芯片 MX-23Y,Serbuk Chip MX-23Y,BGA000168
BGA005780,芯片 MX-23CTK,Chip MX-23CTK,BGA005780
BGA005782,芯片 MX-23CTY,Chip MX-23CTY,BGA005782
BGA005779,芯片 MX-23CTC,Chip MX-23CTC,BGA005779
BGA005781,芯片 MX-23CTM,Chip MX-23CTM,BGA005781
BGA004836,打印机芯片 BPAT300-ATS,Chip pencetak BPAT300-ATS,BGA004836
BGA002892,打印机芯片 SHARP MX315V,chip printer SHARP MX315V,BGA002892
BGA000165,芯片 MX-23C,Serbuk Chip MX-23C,BGA000165
BGA000055,网络电话插座 86型,Stop kontak telepon  tipe 86,BGA000055
BGA000173,水晶头,Kepala kristal,BGA000173
BGA002679,水晶头 RJ45,Jack terdaftar,BGA002679
BGA000174,水晶头 超五类,Konektor RJ45 Kategori 5e,BGA000174
BGA004876,正版软件加密锁 USB-KEY,Kunci enkripsi perangkat lunak asli USB-KEY,BGA004876
BGA004981,加密狗 MACS V5.X-3W-B01,Dongle MACS V5.X-3W-B01,BGA004981
BGA001215,读卡器 3.0 USB,Card Reader USB 3.0,BGA001215
BGA003316,USB网络打印共享服务器 CM-428,Server Berbagi Cetak Jaringan USB CM-428,BGA003316
BGA002126,海康威视系统管理软件 291220,Perangkat lunak manajemen sistem Hikvision 291 * 220,BGA002126
BGA005265,电子桌牌 EC07A 178*79*122mm,Kartu meja elektronik EC07A 178*79*122mm,BGA005265
BGA004821,扫描仪ADF滚轮皮套 L15150,Casing kulit roller ADF pemindai L15150,BGA004821
BGA002849,打印机盖顶打印头泵 LX-310,Carriage Unit  LX-310,BGA002849
BGA003585,民谣吉他写直接5mm,Senar gitar akustik ukuran 5mm,BGA003585
BGA006855,白板磁扣 φ3*1CM,Gesper magnetik papan tulis φ3*1CM,BGA006855
BGA000053,台式电脑CPU冷却风扇 高配,Kipas pendingin CPU komputer desktop Tiggi,BGA000053
BGA000182,电池 7号,Baterai 7,BGA000182
BGA000183,电池 5号,Baterai nomor 5,BGA000183
BGA000184,电池 1号,Baterai 1,BGA000184
BGA000185,电池 2号,Baterai 2,BGA000185
BGA000316,充电电池 5#,Baterai isi ulang 5 #,BGA000316
BGA005331,荣誉证书外壳 红色,Cangkang sertifikat kehormatan berwarna merah,BGA005331
BGA000361,会计凭证封面 240mm*155mm,Cover Dokumen Akuntansi 240mm * 155mm,BGA000361
BGA003030,设备缺陷登记本 双语版 A4,Buku Registrasi Cacat Peralatan Bilingual A4,BGA003030
BGA002415,设备润滑保养记本 A4,Notebook pemeliharaan pelumasan peralatan A4,BGA002415
BGA001147,事故预想记录本 A4,Buku catatan pra-kecelakaan A4,BGA001147
BGA003036,事故预想记录本 双语版 A4,Buku Catatan Prediksi Kecelakaan Versi Bilingual A4,BGA003036
BGA003035,输煤电量表5 双语版 A4,Coal Transportation Electricity Meter 5 Bilingual Version A4,BGA003035
BGA001619,行车点检本,Pemeriksaan mengemudi,BGA001619
BGA003263,一部机务车间消毒工作记录(中印版) A4,Catatan pekerjaan disinfeksi di bengkel pemeliharaan (versi China) A4,BGA003263
BGA001515,仪表校验记录,Catatan verifikasi meteran,BGA001515
BGA001006,10T抓渣行车巡检记录本 A4,10T slag buku catatan inspeksi mengemudi A4,BGA001006
BGA004003,自查自纠记录本 A4,Buku catatan pemeriksaan mandiri A4,BGA004003
BGA004201,产量登记表 A4,Formulir Pendaftaran Produksi A4,BGA004201
BGA002265,电除尘尾排风机巡检表 A4,Meja inspeksi kipas buang ekor penghilang debu listrik A4,BGA002265
BGA001878,电除尘运行记录表 A4,Electric Dedusting Record Form A4,BGA001878
BGA004200,风淬设备巡检记录 A4,Wind quenching equipment inspection record A4,BGA004200
BGA001911,回转窑点检记录表 A4,Rotary Kiln Inspection Record Form A4,BGA001911
BGA004189,机修车间油耗记录 A4,Catatan Konsumsi Bahan Bakar Bengkel Mekanik A4,BGA004189
BGA004198,浇铸车间设备（点）巡检记录 A4,Casting workshop equipment (point) inspection record A4,BGA004198
BGA004199,浇铸车间铸铁机设备巡检记录 A4,Inspection record of cast iron machine equipment in foundry A4,BGA004199
BGA004195,煤粉仓温度记录表 A3,Pulverized coal bunker temperature record sheet A3,BGA004195
BGA002480,汽机交接班记录本 A4,Buku catatan serah terima perpindahan turbin A4,BGA002480
BGA002469,汽机停运参数记录表 A4,Catatan parameter pematian turbin formulir A4,BGA002469
BGA002475,汽机学习记录本 A4,Buku catatan pembelajaran mesin uap A4,BGA002475
BGA001881,水泵房运行记录表 A4,Pump house operation record form A4,BGA001881
BGA001879,通风布袋除尘运行记录表 A4,Catatan operasi catatan pembuangan debu tas ventilasi A4,BGA001879
BGA001880,尾排风机运行记录表 A4,Tail exhaust fan operation record form A4,BGA001880
BGA004190,消毒记录表 A4,Formulir Catatan Disinfeksi A4,BGA004190
BGA001882,液压设备点检记录表 A4,Catatan rekaman inspeksi peralatan hidrolik A4,BGA001882
BGA001645,便签 7575,Kertas Memo 7575,BGA001645
BGA000013,便签,Memo,BGA000013
BGA002986,一期风机检测测温测振表 A4,Pengukuran suhu deteksi kipas fase I dan pengukur getaran A4,BGA002986
BGA002995,汽机运行报表 二 A3,Laporan pengoperasian turbin 2 A3,BGA002995
BGA002996,汽机运行报表 三 A3,Laporan pengoperasian turbin tiga A3,BGA002996
BGA002994,汽机运行报表 一 A3,Laporan pengoperasian turbin 1 A3,BGA002994
BGA001739,配电室日常巡检表 A4,Formulir pemeriksaan harian untuk ruang distribusi tenaga listrik A4,BGA001739
BGA002956,回转窑日报表数据统计 A4,Rotary kiln daily report data statistics A4,BGA002956
BGA001699,化学水汽监督报表 A3,Laporan Pengawasan Uap Air Kimia A3,BGA001699
BGA001698,化学水处理运行报表 A3,laporan operasi pengolahan air kimia A3,BGA001698
BGA000973,电气运行日报表 A3,Laporan harian pengoperasian kelistrikan A3,BGA000973
BGA003120,电气日报表 双语版 A3,Laporan harian kelistrikan versi bilingual A3,BGA003120
BGA004878,车辆定期保养检查表 A4,Daftar Periksa Perawatan Berkala Kendaraan A4,BGA004878
BGA002910,30T成品库行车日常巡检表 A4,30T Formulir Inspeksi Harian Mengemudi Gudang Produk Jadi A4,BGA002910
BGA000978,停送电联系单 A5,Form kontak menghentikan suplyan listrik daftar A5,BGA000978
BGA000934,设备停送电联系单 A5,Lembar kontak pemadaman peralatan A5,BGA000934
BGA003124,汽机检修#4机测温测振表模板 A4,Pemeliharaan turbin #4 templat pengukur suhu dan getaran mesin A4,BGA003124
BGA003123,汽机检修#3机测温测振表模板 A4,Pemeliharaan turbin #3 templat pengukur suhu dan getaran mesin A4,BGA003123
BGA004020,煤炭运输部扣加分单 3联,Formulir Pengurangan dan Tambahan Poin Departemen Perhubungan Batubara sebanyak 3 rangkap,BGA004020
BGA002208,回转窑生产记录表 A4,Catatan produksi tanur putar formulir A4,BGA002208
BGA003122,给煤机巡检记录表 A4,Catatan pemeriksaan pengumpan batubara formulir A4,BGA003122
BGA004191,钢丝绳更换记录表 A4,Formulir Catatan Penggantian Tali Kawat A4,BGA004191
BGA003032,二期#3变频器巡检表 双语版 A4,Formulir Pemeriksaan Konverter Frekuensi Tahap II #3 Versi Bilingual A4,BGA003032
BGA000181,资料,Informasi/Data,BGA000181
BGA005867,资料 A4,Informasi A4,BGA005867
BGA005522,资料 Y6-29 9D,Informasi Y6-29 9D,BGA005522
BGA000111,三星压缩机资料,Informasi kompresor Samsung,BGA000111
BGA001621,回转窑窑速运行表 A4,Tabel pengoperasian kecepatan tanur putar A4,BGA001621
BGA003010,一二期水汽分析监督单 A4,Lembar Pengawasan Analisis Uap Air Tahap I dan II A4,BGA003010
BGA004689,电气第一种工作票 双语版 A3 ,Tiket Kerja Kelas 1 Listrik Bilingual Versi A3,BGA004689
BGA000940,电气第二种工作票 A4,Listrik tiket kerja kedua A4,BGA000940
BGA000942,值长运行日志 A4,Nilai log jangka panjang A4,BGA000942
BGA006957,用户手册 FP-3000,User manual FP-3000,BGA006957
BGA003130,系统图 A4 ,System Diagram A4,BGA003130
BGA001813,热力机械第一种工作票 A3,Tiket kerja mesin termal tipe pertama A3,BGA001813
BGA003011,电气运行主任走线观察表 双语版 A4,Formulir Pengamatan Pengkabelan Direktur Operasi Listrik Versi Bilingual A4,BGA003011
BGA003012,电气检修主任走线观察表 双语版 A4,Formulir Pengamatan Pengkabelan Petugas Pemeliharaan Listrik Versi Bilingual A4,BGA003012
BGA000179,产品质量证明书,Sertifikat kualitas produk,BGA000179
BGA004196,备品备件消耗记录 A4,Spare parts consumption record A4,BGA004196
BGA005327,半导体激光气体分析仪用户手册 LGA-3500型,Panduan Pengguna Penganalisis Gas Laser Semikonduktor LGA-3500,BGA005327
BGA000127,安装图,Diagram instalasi,BGA000127
BGA002110,试验报告,0,BGA002110
BGA005330,荣誉证书内芯纸 35.525.5CM,Kertas bagian dalam sertifikat kehormatan 35.5*25.5CM,BGA005330
BGA001032,安全生产会议记录本 A4,Risalah rapat keselamatan produksi A4,BGA001032
BGA002551,班前会记录本 A4,Note book before class A4,BGA002551
BGA003031,班前会记录本 双语版 A4,Buku catatan pertemuan pra kelas bilingual versi A4,BGA003031
BGA002693,冲渣泵运行记录本 A4,Buku catatan pengoperasian pompa terak A4,BGA002693
BGA003034,电量表三、表四 双语版 A4,Electricity meter 3 and 4 Bilingual version A4,BGA003034
BGA003033,电量表一、表二 双语版 A4,Electricity meter 1 and meter 2 Bilingual version A4,BGA003033
BGA002963,电炉出渣出铁冷却水温度监测记录表 A4,Electric furnace slag tapping cooling water temperature monitoring record table A4,BGA002963
BGA002957,电炉电极加糊记录表 A4,Catatan pengukuran penambahan pasta elektroda furnace A4,BGA002957
BGA002958,电炉温度监测记录表 A4,Electric furnace temperature monitoring record sheet A4,BGA002958
BGA001000,电炉主变压器巡检记录本 A4,Buku catatan transformer inspeksi Tungku listrik utama  A4,BGA001000
BGA000937,电气保护投退记录本 A4,Buku catatan penyerahan proteksi kelistrikan A4,BGA000937
BGA002992,电气运行日志 双语版 A4,Log operasi listrik versi bilingual A4,BGA002992
BGA001003,动力变压器巡检记录本 A4,Catatan kegiatan Power Transformer Inspection  A4,BGA001003
BGA003027,风机检测中印文记录表 A4,Formulir catatan tercetak untuk inspeksi kipas A4,BGA003027
BGA002574,LSI公司制度手册,Company Systel Manual,BGA002574
BGA001288,公司制度手册,Sistem Manual Perusahaan,BGA001288
BGA002985,化水巡检记录本 A4,Buku catatan pemeriksaan air kimia A4,BGA002985
BGA002962,回转窑筒体测温记录表 A4,Rotary kiln cylinder temperature measurement record table A4,BGA002962
BGA003127,机务检修巡检记录本模板 A4,Templat buku catatan inspeksi pemeliharaan A4,BGA003127
BGA003045,技术培训记录本 双语版 A4,Buku catatan pelatihan teknis versi bilingual A4,BGA003045
BGA001762,加料行车巡检记录本 A4,Adding traffic inspection record book A4,BGA001762
BGA003028,进厂化工辅料用量记录本 A4,Buku catatan konsumsi bahan pembantu kimia yang masuk A4,BGA003028
BGA002719,立磨巡检记录本 A4,Buku catatan inspeksi pabrik vertikal A4,BGA002719
BGA001033,日常安全检查记录 A4,Catatan pemeriksaan keamanan harian A4,BGA001033
BGA000830,图纸,Gambar Peta,BGA000830
BGA001999,镍铁一炼钢铁水热送数据,Ni-Fe-I steel smelting data,BGA001999
BGA003126,发电一部走线内容 A4,Isi baris pembangkit listrik satu A4,BGA003126
BGA005389,图书,0,BGA005389
BGA000308,广告牌 80cm60cm120cm,Billboard 80cm * 60cm * 120cm,BGA000308
BGA004068,会议平板 SC86CDP,Tablet Konferensi SC86CDP,BGA004068
BGA004363,万向轮办公椅 47*45*95CM,Kursi Kantor Roda Universal 47*45*95CM,BGA004363
BGA004362,弓形办公椅 56*50*100CM,Kursi kantor busur 56*50*100CM,BGA004362
BGA000172,吧椅 常规,Kursi bar standar,BGA000172
BGA002929,屏风桌圆条,Bilah bundar meja layar,BGA002929
BGA002930,屏风桌边条,Bilah samping meja layar,BGA002930
BGA002925,屏风桌上下1叉,Layar meja atas dan bawah 1 garpu,BGA002925
BGA002931,屏风桌桌面支撑小配件含螺丝,Meja layar Aksesori pendukung desktop dengan sekrup,BGA002931
BGA002920,屏风桌侧板包括玻璃 1.2m,Panel samping meja layar termasuk kaca 1.2m,BGA002920
BGA002921,屏风桌侧板包括玻璃 1.4m,"Panel samping meja layar termasuk kaca 1,4m",BGA002921
BGA002922,屏风桌侧板包括玻璃 60cm,Panel samping meja layar termasuk kaca 60cm,BGA002922
BGA006662,桌子 1195*538*740MM ,Tabel 1195*538*740MM,BGA006662
BGA002919,屏风桌桌面,Meja layar desktop,BGA002919
BGA002923,屏风桌支撑版 50cm,Versi dukungan tabel layar 50cm,BGA002923
BGA002924,屏风桌柜子,lemari meja layar,BGA002924
BGA002808,柜子 1975770mm,Perabot Kantor 1975*770mm,BGA002808
BGA002439,Kabel Perpanjangan USB (USB Extension) 2.0,键鼠 NX1500,BGA002439
BGA007380,Set Keyboard & Mouse NX1500,键鼠 NX1500,BGA007380
BGA000362,铆管 GD-50EC,Pipa memukau GD-50EC,BGA000362
BGA000141,硬胶证卡 B2 124*80,Kartu karet keras B2 124 * 80,BGA000141
BGA005956,Komputer OPTIFLEX XE3 TOWER,计算机 OPTIFLEX XE3 TOWER,BGA005956
BGA005994,Perangkat Lunak Sistem Akuisisi Data PAS-DAS,数据采集系统软件 PAS-DAS V1.0,BGA005994
BGA000828,标示牌 30*15CM,Papan nama 30 * 15CM,BGA000828
BGA005490,Unit Komputer DELL (Host/Server),计算机 DELL,BGA005490
BGA007927,Manual Instruksi Perangkat Proteksi & Kontrol PS 640UX,保护测控装置说明书 PS 640UX,BGA007927
BGA007928,Manual Instruksi Perangkat Kontrol Terintegrasi PSR 660U,综合测控装置说明书 PSR 660U,BGA007928
BGA000110,标牌 30*60,Papan tanda 30*60,BGA000110
BGA000209,标示牌 φ22 扣式,Papan nama φ22 tombol,BGA000209
BGA001211,Switch Ethernet H3C S5110-28P,以太网交换机 H3C S5110-28P,BGA001211
BGA001406,Surat Kerja Kategori Pertama Elektrik,电气第一种工作票,BGA001406
BGA002593,Alas mouse 300*800mm,鼠标垫 300*800mm,BGA002593
BGA002613,"Monitor 21,5 inci",显示器 21.5寸,BGA002613
BGA003850,不干胶标签纸 3015CM,Kertas label Sticker 3015CM,BGA003850
BGA005373,Pelat bantalan rapat 335*250MM,会议垫板 335*250MM,BGA005373
BGA005433,Keyboard Bahasa Cina CS3100,中文键盘 CS3100,BGA005433
BGA005461,Speaker CL60,音箱 CL60,BGA005461
BGA005464,Speaker DIVA 1200 TOP,音箱 DIVA 1200 TOP,BGA005464
