Kode,Nama_Indo,Nama_Mandarin,Foto
BGA000782,Tempat Kartu Label,磁性标识卡,BGA000782
BGA007604,Tempat Kartu Label 65×100 mm,磁性标识卡65*100MM四轮四磁外框尺,BGA007604
BGA003853,Kertas laminating 68 * 97mm,封塑膜 68*97mm,BGA003853
BGA000015,Kertas berperekat,不干胶纸,BGA000015
BGA003504,Kertas berperekat A4 isi 50 lembar,不干胶纸 A4 50张包,BGA003504
BGA002841,Kertas cetak berperekat A4,不干胶打印纸 A4,BGA002841
BGA003202,Stick Note 76*76mm,便签纸 76*76mm,BGA003202
BGA001127,Kertas Tebal Warna Putih A4,白色厚纸 A4,BGA001127
BGA000400,Kertas gambar teknik 90mm * 150 m,工程绘图纸 90mm*150m,BGA000400
BGA000428,"Kertas gambar teknik A1 (0,62 * 50m)",工程绘图纸 A1(0.62*50m),BGA000428
BGA003483,Kertas gambar teknik A2 0.45*50m,工程绘图纸 A2 0.45*50m,BGA003483
BGA000060,Kertas foto A4,相片纸 A4,BGA000060
BGA004066,Kertas label 12060500,铜版纸标签 12060500,BGA004066
BGA000072,Kertas label,标签纸,BGA000072
BGA000208,Kertas label 10 lembar / paket,标签纸 10张/包,BGA000208
BGA000740,"Kertas label 21 * 10,5",标签纸 21*10.5,BGA000740
BGA002164,Kertas label 150*70,标签纸 150*70,BGA002164
BGA002703,Kertas label 23cm,标签纸 23cm,BGA002703
BGA002704,"Kertas label 4,56cm",标签纸 4.56cm,BGA002704
BGA003308,Kertas label PT-2538+38YL-400/2F,标签纸PT-2538+38YL-4002F,BGA003308
BGA004600,Kertas label 253840MM,标签纸 253840MM,BGA004600
BGA005181,Kertas label 135*200MM (500 lbr),标签纸 135200MM 500张卷,BGA005181
BGA003394,Stiker label kode batang 135*200mm,条码标签贴纸135200mm,BGA003394
BGA003943,Kertas label 15*10CM green,标签纸 15*10CM 绿色,BGA003943
BGA004862,Kertas label 100*20MM (500 lbr),热敏标签纸 100*20MM 500张/卷,BGA004862
BGA007269,Kertas label 100*80MM (500 lbr),单排PET标签纸 100*80MM 500张/卷,BGA007269
BGA002038,Kertas label 30 * 12MM,标签纸 30*12MM,BGA002038
BGA003941,Kertas label 15*10CM ungu,标签纸 15*10CM 紫色,BGA003941
BGA003942,Kertas label 15*10CM merah,标签纸 15*10CM 红色,BGA003942
BGA002342,Kertas label (dengan kotak) 5MM,标签纸(带盒） CH-305WH 5MM,BGA002342
BGA000016,Kertas A3,打印纸 A3,BGA000016
BGA000219,Kertas A4,复印纸 A4,BGA000219
BGA000018,Kertas A4,打印纸 A4,BGA000018
BGA000019,Kertas cetak warna warni,打印纸 彩色,BGA000019
BGA000025,Kertas laminating A4,封塑膜 A4,BGA000025
BGA000070,Kertas laminating A3,封塑膜 A3,BGA000070
BGA000017,Kertas cetak 3 lembar,打印纸 3联,BGA000017
BGA000020,Kertas cetak 4 lembar,打印纸 4联,BGA000020
BGA001334,Kertas cetak rangkap tiga (1000 lbr),三联打印纸 9 12112(1000张）,BGA001334
BGA002125,Kertas cetak 55 * 3000MM,打印纸 55*3000MM,BGA002125
BGA001557,Kertas cetak termal 58*48MM,热敏打印纸 58*48MM,BGA001557
BGA002188,Kertas cetak termal 57 * 40mm,热敏打印纸 57*40mm,BGA002188
BGA004902,Kertas cetak termal 804820000MM,热敏打印纸 804820000MM,BGA004902
BGA007453,Kertas cetak termal 805020000mm,热敏打印纸 805020000MM,BGA007453
BGA000199,Flashdisk 16G,U盘 16G,BGA000199
BGA000412,Flashdisk 32G,U盘 32G,BGA000412
BGA006475,Kartu SD 128GB,SD卡 128GB,BGA006475
BGA003398,Kartu Memori 256G,内存卡 256G,BGA003398
BGA002654,Harddisk SSD SATA 3 240GB,固态硬盘 240GB,BGA002654
BGA004028,Hard drive mekanis 1TB,机械硬盘 1TB,BGA004028
BGA005025,"Hardisk INTEL 3,84TB",硬盘 INTEL 3.84TB,BGA005025
BGA005026,Hardisk INTEL 2.4TB,硬盘 INTEL 2.4TB,BGA005026
BGA000905,Hard disk 256G,硬盘 256G,BGA000905
BGA002725,Harddisk 6TB,硬盘 6TB,BGA002725
BGA000193,Hard disk (Computer Hard Disk) 500G,硬盘 500G,BGA000193
BGA003349,Harddisk 8T,硬盘 8T,BGA003349
BGA004591,Harddisk Komputer ST8000NM017B,硬盘 ST8000NM017B,BGA004591
BGA003677,Hard Disk DS60HKVS-VH1,硬盘 DS60HKVS-VH1,BGA003677
BGA000386,Hard disk 300G,硬盘 300G,BGA000386
BGA000749,Hard disk ST-6TB,硬盘 ST-6TB,BGA000749
BGA004922,Harddisk ST6000V*008-6TB,硬盘 ST6000V008-6TB,BGA004922
BGA005219,Harddisk 4T DS40HKVS-VH1,硬盘 4T DS40HKVS-VH1,BGA005219
BGA003609,Harddisk 6T-SC H4510,硬盘 6T-SC H4510,BGA003609
BGA005238,Harddisk DS63HKVS-78 6TB,硬盘 DS63HKVS-78 6TB,BGA005238
BGA000423,Hard drive seluler 2T,移动硬盘 2T,BGA000423
BGA000578,Hard disk eksternal 1TB,移动硬盘1TB,BGA000578
BGA001727,Hard disk CCTV 6TB,监控级硬盘 6TB,BGA001727
BGA001982,Hard disk CCTV 4TB,监控级硬盘 4TB,BGA001982
BGA002321,Hard disk CCTV 10 TB,监控级硬盘 10TB,BGA002321
BGA002735,Hard disk CCTV 8T,监控级硬盘 8T,BGA002735
BGA004855,Hard drive mekanis 2TB,机械硬盘 2TB,BGA004855
BGA005771,Hard drive mekanis 8TB,机械硬盘 8TB,BGA005771
BGA003393,Server Hard Disk 4T SAS,服务器硬盘4T SAS,BGA003393
BGA005088,Hard drive mekanis 4TB,机械硬盘 4TB,BGA005088
BGA001634,Harddrive server 1.2TB 2.5,服务器硬盘 1.2TB 2.5,BGA001634
BGA003513,Set Keyboard & Mouse Bluetooth MX Mekanik,无线蓝牙键鼠套装 MX Mechanical,BGA003513
BGA000223,Keyboard dan mouse,键盘鼠标,BGA000223
BGA003493,Keyboard 260*530MM,键盘 260*530MM,BGA003493
BGA000031,Keyboard (Detector Keyboard),键盘,BGA000031
BGA005516,Keyboard MK100,键盘 MK100,BGA005516
BGA005463,Set keyboard dan mouse MK618,键盘鼠标套装 MK618,BGA005463
BGA000797,Keyboard kontrol jaringan DS-1100K,网络控制键盘 DS-1100K,BGA000797
BGA003573,Komputer Tianyi 510Pro-1410B,电脑 天逸510Pro-1410B,BGA003573
BGA005218,Komputer host Yangtian T4900K-00IAB,上位机 扬天T4900K-00IAB,BGA005218
BGA001629,Monitor 22B1H,显示器 22B1H,BGA001629
BGA004944,Monitor Komputer DH-LM24-B201,商用办公显示器 DH-LM24-B201,BGA004944
BGA004607,CPU Desktop B730-K7651B,台式电脑 B730-K7651B,BGA004607
BGA003338,CPU Industrial Vostro 3888,工控机电脑 VOSTRO 3888,BGA003338
BGA004879,CPU Dell T3660 I7-12700,DELL主机 T3660 I7-12700...,BGA004879
BGA004871,CPU Mini SFF7010,微型计算机 SFF7010,BGA004871
BGA001204,CPU Mini Dell 3267,微型计算机 DELL 3267,BGA001204
BGA003653,CPU I7-11700,电脑主机 I7-11700,BGA003653
BGA000626,CPU I5,电脑 I5,BGA000626
BGA004798,CPU A24926NH67,电脑 A24926NH67,BGA004798
BGA004941,Mouse nirkabel G304,无线鼠标 G304,BGA004941
BGA002914,Mouse nirkabel M350,无线鼠标 M350,BGA002914
BGA005386,Mouse nirkabel M170,无线鼠标 M170,BGA005386
BGA000421,Mouse,鼠标,BGA000421
BGA000186,Mouse Pad,鼠标垫,BGA000186
BGA001632,Tinta stempel cair warna biru,印泥油 蓝色,BGA001632
BGA005011,Tinta hitam 500 ml,墨汁黑色500ml,BGA005011
BGA002727,Tinta cetak merah 50ml,印油 红色 50ml,BGA002727
BGA004064,Tinta Printer 774 Hitam 140ml,打印机墨水 774 黑 140ml,BGA004064
BGA002948,Tinta Printer BT-5000M Merah 48.8ml,打印机墨水 BT-5000M 红色 48.8ml,BGA002948
BGA002589,Tinta printer EPSON 774 140ml,打印机墨水 EPSON 774 140ml,BGA002589
BGA001968,Tinta printer T6641 70ML,打印机墨水 T6641专用 70ML,BGA001968
BGA000263,Tinta Mesin Cetak hitam 70ml,打印机墨水 黑 70ML,BGA000263
BGA000041,Tinta Mesin Cetak merah 70ml,打印机墨水 红 70ML,BGA000041
BGA000042,Tinta Mesin Cetak kuning 70ml,打印机墨水 黄 70ML,BGA000042
BGA000043,Tinta Mesin Cetak biru 70ml,打印机墨水 蓝 70ML,BGA000043
BGA000954,Tinta,墨汁,BGA000954
BGA007305,Tinta Hitam 450ml,墨汁 黑色 450ml,BGA007305
BGA000228,Tinta Refill,墨水 填充型,BGA000228
BGA002947,Tinta Printer BT-5000C Biru 48.8ml,打印机墨水 BT-5000C 蓝色 48.8ml,BGA002947
